id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q269449,Bill Cash,2003-07-01,2003-11-13,,Q302417,,
Q302417,Alan Duncan,2003-11-13,2004-06-14,Q269449,Q478711,,
Q478711,Oliver Heald,2004-06-14,2007-05-08,Q302417,Q478711,,
Q478711,Oliver Heald,2007-05-09,2007-07-02,Q478711,Q333283,,
Q333283,Nick Herbert,2007-07-02,2009-01-19,Q478711,Q332994,,
Q332994,Dominic Grieve,2009-01-19,2010-05-11,Q333283,Q311278,,
Q311278,Jack Straw,2010-05-11,2010-10-07,Q332994,Q334155,,
Q334155,Sadiq Khan,2010-10-08,2015-05-11,Q311278,Q337117,,
Q337117,"Charles Falconer, Baron Falconer of Thoroton",2015-05-11,2016-06-26,Q334155,Q19871710,,
Q19871710,Richard Burgon,2016-06-27,2020-04-06,Q337117,Q534727,,
Q534727,David Lammy,2020-04-06,,Q19871710,,,
